fecha,div_01,div_02,div_03,div_04,div_05,div_06,div_07,div_08,div_09,div_10,div_11,div_12,div_13
2021-01-01,113.9320533,117.0941275,104.1905856,111.0234482,110.2496194,110.9309839,105.782415,99.1608311,106.1337479,110.5694159,111.86922,111.0234854,110.9422515
2021-02-01,114.1265613,117.4634968,105.3047656,111.7372367,110.6795563,111.7290074,108.105493,99.38147798,106.6425997,110.6128878,112.3349759,111.9912931,111.0310003
2021-03-01,115.156318,117.6399473,106.4018681,112.7327752,111.332893,112.2279801,109.8150008,99.57291206,107.9494391,110.6214535,112.9880957,112.6185307,111.0266876
2021-04-01,116.7821909,117.4268643,106.6623665,111.4236858,111.8586097,112.7436881,110.3013828,99.74001741,108.0613624,110.6214535,113.6563895,113.2867083,111.3376985
2021-05-01,118.3282945,117.5255275,107.0016913,109.2605406,112.0098247,113.13763,110.8936127,99.72219477,108.95682,110.6226394,114.4211302,113.8286005,112.0335954
2021-06-01,118.9676261,117.6596657,107.2957715,109.9130499,113.2185557,113.46206,111.4612227,99.854097,109.8224064,110.655023,115.4414948,113.6521653,112.2744388
2021-07-01,119.9397935,118.1862053,107.2629901,110.9643984,113.6425932,113.8370105,111.6511006,99.85791409,110.6426807,110.762951,116.3604145,113.6942565,112.6680668
2021-08-01,121.4295229,118.3779628,108.3030265,109.0994767,114.3313679,114.1269357,111.549693,100.0663284,110.2316783,111.5701696,116.9405364,114.5114454,113.5012038
2021-09-01,122.7004463,118.6192268,109.0936475,109.973261,115.0251831,114.2125441,111.6054931,100.2737925,110.7608155,112.9984444,117.3366966,115.9377812,113.4613885
2021-10-01,123.2578734,118.9994619,109.6642071,112.8691157,115.9791663,114.579828,111.8689754,100.481741,111.9973198,112.9999871,117.6892448,116.9768888,114.1274555
2021-11-01,125.8955294,119.5062024,109.1215389,115.3411101,115.8348567,114.6672305,112.1900397,100.1447803,112.7790061,112.9999871,118.4400423,117.7161562,115.1118919
2021-12-01,126.5028252,120.508158,110.4471182,113.9014351,117.2033715,114.9794316,113.4010843,100.3320608,114.6217848,112.9999871,119.4919239,119.0129214,116.1099972
2022-01-01,127.4997638,122.6693754,110.2067135,114.1527486,118.2347577,116.0306139,113.8155544,100.3857858,113.5271841,113.603608,121.1953521,119.8677344,117.3647832
2022-02-01,128.5482477,123.1438417,111.299569,115.1590934,119.5500062,117.1048506,114.8752886,100.2622828,114.4333753,114.1617035,122.5189509,122.2422355,118.0310118
2022-03-01,130.1203479,124.1822172,112.191578,116.5864051,120.4285994,118.0942498,116.6257621,98.27777803,116.573632,114.1623917,123.6398596,123.008471,118.3634844
2022-04-01,131.7182549,124.8954967,112.8016057,115.3283215,121.3727302,118.8321086,117.7017593,98.07671919,118.3628461,114.1623917,124.7516987,123.291344,119.7646893
2022-05-01,133.1400693,125.6525689,112.9277034,113.1814384,121.5854029,119.187358,118.1836894,97.74980945,118.3881165,114.232958,125.8805302,123.9966379,121.0343469
2022-06-01,135.1489278,126.7876784,113.446189,113.4629998,123.1131221,119.7215339,119.1147546,97.40924131,119.1760677,114.3316059,127.1377291,125.3685528,121.9593522
2022-07-01,136.9106454,127.8929389,113.2678781,113.9578716,123.397407,120.2709658,119.8832227,97.62349078,120.1099709,114.4101517,128.2848256,126.1093625,122.8439654
2022-08-01,138.6915176,128.8809341,114.394463,113.9658011,124.5062234,120.8149284,120.0181805,97.59622095,119.9318811,115.7078917,129.7029114,126.9989649,124.0196865
2022-09-01,140.5594593,129.3331889,115.4087457,113.9322728,125.498115,121.1619107,120.0078324,96.40750432,120.2124859,118.0661479,130.8151372,128.7120394,124.6702057
2022-10-01,141.1743168,130.3224861,116.2738398,114.8473939,126.1850702,121.5728221,120.6583102,95.34165469,121.3529941,118.0661479,132.1164716,130.4293936,125.6651156
2022-11-01,141.5165534,130.5822802,116.4730162,116.9358442,125.8343742,121.9258916,120.8701831,94.97878261,122.353613,118.0661479,133.1467844,132.0736553,127.0288465
2022-12-01,142.5680709,131.3807338,117.0740306,116.4788525,126.8308371,122.4483357,120.7936904,95.00853249,123.2775927,118.0661479,134.3447188,134.334468,128.042046
