clave_enigh,bloque_enigh,ccif_clase,ccif_division,ccif_division_nombre,pendiente,nota
Q007,Erogaciones financieras,14.1.1.1.7,14,Erogaciones financieras,NO,
Q008,Erogaciones financieras,14.1.1.1.8,14,Erogaciones financieras,NO,
Q009,Erogaciones financieras,14.1.1.1.9,14,Erogaciones financieras,NO,
Q010,Erogaciones financieras,14.1.1.1.A,14,Erogaciones financieras,NO,
Q011,Erogaciones financieras,14.1.1.1.B,14,Erogaciones financieras,NO,
Q012,Erogaciones financieras,14.1.1.1.C,14,Erogaciones financieras,NO,
Q013,Erogaciones financieras,14.1.1.1.D,14,Erogaciones financieras,NO,
Q015,Erogaciones financieras,14.1.1.1.E,14,Erogaciones financieras,NO,
R001,Servicios de telecomunicacion,08.3.2.0.1,08,Comunicacion,NO,
R007,Servicios de telecomunicacion,08.3.2.0.2,08,Comunicacion,NO,
R008,Servicios de telecomunicacion,08.3.3.1.1,08,Comunicacion,NO,
R009,Servicios de telecomunicacion,08.3.9.2.4,08,Comunicacion,NO,
R010,Servicios de telecomunicacion,08.3.4.0.1,08,Comunicacion,NO,
R011,Servicios de telecomunicacion,08.3.4.0.4,08,Comunicacion,NO,
R011,Servicios de telecomunicacion,08.3.4.0.5,08,Comunicacion,NO,
R011,Servicios de telecomunicacion,08.3.4.0.2,08,Comunicacion,NO,
R011,Servicios de telecomunicacion,08.3.4.0.3,08,Comunicacion,NO,
